r    N(r)    fit    slope3    slope2
# Fractal dimension D_f = 2.769444
# Intercept = -0.341764
# Std error = 0.016599

8.506122448979592576e+00 2.468600000000000136e+02 2.669398460302538183e+02 3.573622275417509400e+02 1.008296496135074705e+02
8.865306122448981085e+00 2.794800000000000182e+02 2.993356564823116628e+02 4.045712016614912159e+02 1.095248004497959613e+02
9.224489795918369595e+00 3.137400000000000091e+02 3.341392813552848224e+02 4.557648417276142254e+02 1.185795251928483083e+02
9.583673469387756327e+00 3.637200000000000273e+02 3.714254428365127296e+02 5.111045890860134477e+02 1.279938238426643551e+02
9.942857142857143060e+00 4.011399999999999864e+02 4.112681949095270397e+02 5.707518850825832715e+02 1.377676963992442438e+02
1.030204081632653157e+01 4.353100000000000023e+02 4.537409540695279588e+02 6.348681710632180284e+02 1.479011428625880171e+02
1.066122448979592008e+01 4.710500000000000114e+02 4.989165275707347860e+02 7.036148883738107997e+02 1.583941632326955471e+02
1.102040816326530681e+01 5.318700000000000045e+02 5.468671394829684687e+02 7.771534783602559173e+02 1.692467575095668622e+02
1.137959183673469532e+01 5.876100000000000136e+02 5.976644547953632127e+02 8.556453823684479403e+02 1.804589256932020760e+02
1.173877551020408205e+01 6.333899999999999864e+02 6.513796017723597060e+02 9.392520417442797225e+02 1.920306677836010181e+02
1.209795918367347056e+01 6.942000000000000455e+02 7.080831927398007792e+02 1.028134897833645709e+03 2.039619837807637737e+02
1.245714285714285907e+01 7.447100000000000364e+02 7.678453434559604602e+02 1.122455391982440688e+03 2.162528736846903996e+02
1.281632653061224580e+01 8.073700000000000045e+02 8.307356912029399609e+02 1.222374965536557056e+03 2.289033374953807538e+02
1.317551020408163431e+01 8.905199999999999818e+02 8.968234117173656159e+02 1.328055059841889715e+03 2.419133752128349499e+02
1.353469387755102105e+01 9.702500000000000000e+02 9.661772350652515797e+02 1.439657116244332428e+03 2.552829868370529312e+02
1.389387755102040956e+01 1.039279999999999973e+03 1.038865460553820867e+03 1.557342576089779641e+03 2.690121723680347827e+02
1.425306122448979806e+01 1.129490000000000009e+03 1.114955970762673360e+03 1.681272880724124434e+03 2.831009318057804194e+02
1.461224489795918480e+01 1.203799999999999955e+03 1.194516244767702119e+03 1.811609471493261026e+03 2.975492651502898411e+02
1.497142857142857331e+01 1.301039999999999964e+03 1.277613370623344963e+03 1.948513789743084317e+03 3.123571724015631048e+02
1.533061224489796004e+01 1.384819999999999936e+03 1.364314057161942628e+03 2.092147276819486706e+03 3.275246535596002104e+02
1.568979591836734855e+01 1.473789999999999964e+03 1.454684645163040841e+03 2.242671374068362638e+03 3.430517086244009874e+02
