r    N(r)    fit    slope3    slope2
# Fractal dimension D_f = 2.524622
# Intercept = 0.019567
# Std error = 0.027719

2.400000000000000355e+00 9.050000000000000711e+00 9.297956367233984665e+00 9.297956367233984665e+00 9.297956367233984665e+00
2.642105263157894957e+00 1.143999999999999950e+01 1.185120153108254115e+01 1.240521019137122849e+01 1.126847778339697292e+01
2.884210526315789558e+00 1.566999999999999993e+01 1.478740656981764268e+01 1.613744039917559192e+01 1.342823507668626171e+01
3.126315789473684603e+00 1.989000000000000057e+01 1.812460889572227529e+01 2.055191574293530010e+01 1.577722824710184923e+01
3.368421052631579204e+00 2.244999999999999929e+01 2.188013810681790972e+01 2.570590497493857285e+01 1.831545729464373551e+01
3.610526315789473806e+00 2.451000000000000156e+01 2.607069575447092191e+01 3.165667684747363708e+01 2.104292221931192230e+01
3.852631578947368851e+00 3.123000000000000043e+01 3.071242107803293919e+01 3.846150011282870196e+01 2.395962302110640607e+01
4.094736842105263008e+00 3.474000000000000199e+01 3.582094594676430432e+01 4.617764352329198374e+01 2.706555970002718681e+01
4.336842105263158054e+00 3.964999999999999858e+01 4.141144134481973538e+01 5.486237583115175909e+01 3.036073225607427517e+01
4.578947368421053099e+00 4.845000000000000284e+01 4.749865712164739762e+01 6.457296578869619452e+01 3.384514068924766406e+01
4.821052631578947256e+00 5.402000000000000313e+01 5.409695630306607939e+01 7.536668214821352763e+01 3.751878499954734281e+01
5.063157894736842302e+00 5.863000000000000256e+01 6.122034495406153809e+01 8.730079366199194624e+01 4.138166518697331497e+01
5.305263157894737347e+00 6.671999999999999886e+01 6.888249836324162345e+01 1.004325690823197590e+02 4.543378125152560898e+01
5.547368421052631504e+00 7.665000000000000568e+01 7.709678415531126916e+01 1.148192771614850756e+02 4.967513319320418219e+01
5.789473684210526550e+00 8.575000000000000000e+01 8.587628281496519378e+01 1.305181866517762614e+02 5.410572101200907724e+01
6.031578947368421595e+00 9.798000000000000398e+01 9.523380601183374949e+01 1.475865663054814547e+02 5.872554470794026571e+01
6.273684210526315752e+00 1.035100000000000051e+02 1.051819130436934415e+02 1.660816848748888219e+02 6.353460428099774049e+01
6.515789473684210797e+00 1.156500000000000057e+02 1.157329256585483819e+02 1.860608111122867001e+02 6.853289973118153000e+01
6.757894736842104955e+00 1.287400000000000091e+02 1.268989414714731510e+02 2.075812137699631421e+02 7.372043105849159872e+01
7.000000000000000000e+00 1.447500000000000000e+02 1.386918461564380038e+02 2.307001616002064850e+02 7.909719826292796085e+01
