r    N(r)    fit    slope3    slope2
8.506122448979592576e+00 3.345500000000000114e+02 3.447586026016805363e+02 4.041973689588882621e+02 1.140441712801469976e+02
8.865306122448981085e+00 3.692099999999999795e+02 3.882786172054692315e+02 4.575934518681206100e+02 1.238788902847398248e+02
9.224489795918369595e+00 4.190099999999999909e+02 4.352322444462059252e+02 5.154964226563182592e+02 1.341203081955376604e+02
9.583673469387756327e+00 4.627500000000000000e+02 4.857408106582579990e+02 5.780888808323891226e+02 1.447684250125403764e+02
9.942857142857143060e+00 5.105799999999999841e+02 5.399250494349388418e+02 6.455534259052418520e+02 1.558232407357480724e+02
1.030204081632653157e+01 5.788999999999999773e+02 5.979051266020130697e+02 7.180726573837855540e+02 1.672847553651608052e+02
1.066122448979592008e+01 6.453500000000000227e+02 6.598006632751956886e+02 7.958291747769272888e+02 1.791529689007784327e+02
1.102040816326530681e+01 7.051000000000000227e+02 7.257307572103479743e+02 8.790055775935761631e+02 1.914278813426010402e+02
1.137959183673469532e+01 7.720399999999999636e+02 7.958140026260703053e+02 9.677844653426409423e+02 2.041094926906286844e+02
1.173877551020408205e+01 8.291699999999999591e+02 8.701685086542227054e+02 1.062348437533028573e+03 2.171978029448612517e+02
1.209795918367347056e+01 9.324800000000000182e+02 9.489119165536729952e+02 1.162880093673648389e+03 2.306928121052987137e+02
1.245714285714285907e+01 1.025220000000000027e+03 1.032161415805472416e+03 1.269562033273409497e+03 2.445945201719412694e+02
1.281632653061224580e+01 1.102069999999999936e+03 1.120033759193209107e+03 1.382576855841218503e+03 2.589029271447886913e+02
1.317551020408163431e+01 1.221799999999999955e+03 1.212645276959934563e+03 1.502107160885984740e+03 2.736180330238411216e+02
1.353469387755102105e+01 1.319710000000000036e+03 1.310111890122499744e+03 1.628335547916616406e+03 2.887398378090984465e+02
1.389387755102040956e+01 1.416309999999999945e+03 1.412549123015058285e+03 1.761444616442022379e+03 3.042683415005608936e+02
1.425306122448979806e+01 1.541329999999999927e+03 1.520072115125620940e+03 1.901616965971109948e+03 3.202035440982281784e+02
1.461224489795918480e+01 1.643279999999999973e+03 1.632795632282760607e+03 2.049035196012788219e+03 3.365454456021004148e+02
1.497142857142857331e+01 1.761029999999999973e+03 1.750834077243609272e+03 2.203881906075966072e+03 3.532940460121777164e+02
1.533061224489796004e+01 1.927410000000000082e+03 1.874301499729118405e+03 2.366339695669550565e+03 3.704493453284599696e+02
1.568979591836734855e+01 2.040630000000000109e+03 2.003311605948009628e+03 2.536591164302449670e+03 3.880113435509471174e+02
1.604897959183673706e+01 2.177769999999999982e+03 2.137977767646817028e+03 2.714818911483574539e+03 4.059800406796393304e+02
1.640816326530612201e+01 2.330800000000000182e+03 2.278413030719926155e+03 2.901205536721829503e+03 4.243554367145363244e+02
1.676734693877551052e+01 2.485269999999999982e+03 2.424730123410363831e+03 3.095933639526126626e+03 4.431375316556384405e+02
1.712653061224489903e+01 2.666809999999999945e+03 2.577041464129301403e+03 3.299185819405372513e+03 4.623263255029455081e+02
1.748571428571428754e+01 2.825280000000000200e+03 2.735459168919817330e+03 3.511144675868476952e+03 4.819218182564575841e+02
1.784489795918367605e+01 3.021840000000000146e+03 2.900095058588193297e+03 3.731992808424345185e+03 5.019240099161745547e+02
1.820408163265306456e+01 3.206590000000000146e+03 3.071060665524092201e+03 3.961912816581888819e+03 5.223329004820965338e+02
1.856326530612245307e+01 3.396679999999999836e+03 3.248467240229165782e+03 4.201087299850015370e+03 5.431484899542235780e+02
1.892244897959184158e+01 3.565679999999999836e+03 3.432425757572078055e+03 4.449698857737631442e+03 5.643707783325554601e+02
1.928163265306122298e+01 3.802510000000000218e+03 3.623046922786453706e+03 4.707930089753641369e+03 5.859997656170918390e+02
1.964081632653061149e+01 4.002320000000000164e+03 3.820441177227034586e+03 4.975963595406966306e+03 6.080354518078338515e+02
2.000000000000000000e+01 4.250819999999999709e+03 4.024718703898049171e+03 5.253981974206504674e+03 6.304778369047807018e+02
