r    N(r)    fit    slope3    slope2
# Fractal dimension D_f = 2.874293
# Intercept = -0.310403
# Std error = 0.012616

2.400000000000000355e+00 9.839999999999999858e+00 9.078880851428843712e+00 9.078880851428843712e+00 9.078880851428843712e+00
2.759183673469387976e+00 1.511999999999999922e+01 1.355584059388155360e+01 1.379559468122988442e+01 1.199971845053723740e+01
3.118367346938776041e+00 2.253999999999999915e+01 1.927017026198849692e+01 1.991500473855418463e+01 1.532725495585060393e+01
3.477551020408163662e+00 2.869999999999999929e+01 2.636164597970227419e+01 2.761971053231008710e+01 1.906149036736893265e+01
3.836734693877551727e+00 3.439000000000000057e+01 3.496802481347346259e+01 3.709231157140594348e+01 2.320242468509222533e+01
4.195918367346939348e+00 4.364000000000000057e+01 4.522527984122862676e+01 4.851540736475010362e+01 2.775005790902048730e+01
4.555102040816326969e+00 5.924000000000000199e+01 5.726778825142535823e+01 6.207159742125092095e+01 3.270439003915370790e+01
4.914285714285714590e+00 7.026000000000000512e+01 7.122848511705582553e+01 7.794348124981675596e+01 3.806542107549190490e+01
5.273469387755103099e+00 8.498999999999999488e+01 8.723899134410132206e+01 9.631365835935598341e+01 4.383315101803506764e+01
5.632653061224489832e+00 1.020100000000000051e+02 1.054297217153986566e+02 1.173647282587768501e+02 5.000757986678318190e+01
5.991836734693878341e+00 1.197099999999999937e+02 1.259299772790169243e+02 1.412792904569878658e+02 5.658870762173628322e+01
6.351020408163265962e+00 1.381299999999999955e+02 1.488680252080332878e+02 1.682399444628973129e+02 6.357653428289435737e+01
6.710204081632653583e+00 1.580399999999999920e+02 1.743711684828618900e+02 1.984292897854134594e+02 7.097105985025737596e+01
7.069387755102041204e+00 1.875399999999999920e+02 2.025658071973175538e+02 2.320299259334447868e+02 7.877228432382536027e+01
7.428571428571429713e+00 2.189799999999999898e+02 2.335774928910223025e+02 2.692244524158996342e+02 8.698020770359833875e+01
7.787755102040817334e+00 2.595299999999999727e+02 2.675309770162708105e+02 3.101954687416861702e+02 9.559482998957624034e+01
8.146938775510204067e+00 2.873399999999999750e+02 3.045502544261356661e+02 3.551255744197129047e+02 1.046161511817591361e+02
